id,latitude,longitude
"0",22.4095957456,78.1635058185
"1",22.1474527130,72.0413328782
"2",7.8843907497,91.0496303273
"3",19.9220234301,93.3333051320
"4",35.0612342765,80.6413735279
"5",9.0784916287,89.5464966713
"6",21.7374398237,84.5809391277
"7",31.9147920135,73.1403429251
"8",24.2187938813,76.6696445379
"9",36.6237231161,96.7779373207
"10",18.1636304432,84.9524217170
"11",20.0711302156,92.8181204549
"12",19.6277303845,87.9633624153
"13",31.5790733900,68.9294251856
"14",9.1265784741,85.2955063811
"15",19.6376864714,76.3494538224
"16",13.4567829223,90.0699057835
"17",28.5026364164,88.5564421885
"18",15.3827355192,75.9049288523
"19",17.2568676373,91.3508036445
"20",7.4896233322,76.9466285539
"21",16.5719387008,74.4417451998
"22",8.2614484472,73.3813209995
"23",9.3050798347,82.3527780672
"24",22.3879384258,97.2222189083
"25",14.4889727993,83.7676897941
"26",16.5715976481,86.8499954601
"27",35.9890433528,83.3629246040
"28",36.1831522977,81.3578438294
"29",24.6425804773,80.9919627130
"30",8.3615828723,72.1720736450
"31",25.3771556752,94.3465993327
"32",16.1840201453,96.3307473316
"33",24.9822804171,86.5151511771
"34",10.1468886360,90.7635072359
"35",27.5257361237,94.5145733467
"36",10.5125541889,94.0778387562
"37",17.9312741202,90.4786819587
"38",13.3788242040,89.8600036265
"39",24.0724986124,77.5448392898
"40",18.6245271928,71.0958156474
"41",15.4564810905,95.7174658333
"42",7.8714815500,91.3965314847
"43",9.0105987954,93.4347119221
"44",28.0363851079,73.4515322974
"45",27.5275338609,72.5831799705
"46",27.0843481163,74.7946345267
"47",31.5698039028,84.4076949193
"48",32.3614056282,74.0064747999
"49",23.8428672114,88.5602301972
"50",19.2614175659,76.2842661833
"51",12.0974103764,71.6593855315
"52",30.0561377393,91.1966985831
"53",30.2832306196,71.0567343357
"54",32.3465164287,88.6702734400
"55",32.5996707345,94.2041903217
"56",18.1121432088,92.7034280957
"57",32.6257591973,79.9324635000
"58",17.2704442874,92.1548521368
"59",11.2681807818,83.8544829851
"60",23.1705723765,78.2051025465
"61",31.9577453923,96.7304570416
"62",29.3016388507,72.9524391567
"63",35.7487664631,88.9054822299
"64",21.9756564891,90.9686196922
"65",14.4409334210,89.0017514553
"66",33.9176709675,95.9941251548
"67",7.9663877737,95.9673979801
"68",14.3966478967,84.2844584359
"69",32.2682777389,92.3241286148
"70",10.8297093345,80.5241295297
"71",12.0058542827,78.8330386082
"72",15.2386287892,85.7519045790
"73",17.9420396146,86.9326728216
"74",16.7727287736,84.8083619969
"75",8.8015596359,81.1869040865
"76",18.4887490665,84.1367923518
"77",16.9535333415,81.3665034839
"78",36.5213529129,87.7957198555
"79",16.2406115116,70.3947033021
"80",16.1522844397,80.9886925062
"81",15.4023037820,68.2189665841
"82",13.0625501287,80.4648621811
"83",9.4541608175,80.7164034054
"84",30.7067378730,94.5706603592
"85",32.5359767674,83.3630549187
"86",9.6867089049,85.5971842196
"87",36.4498714554,79.0306412756
"88",16.2343530040,88.0621383898
"89",7.0542971048,88.4546798092
"90",33.5824690366,78.3681342347
"91",19.8520721424,68.5897077174
"92",31.5026899352,81.2653552314
